,session_id,r2
0,2002,-0.0844
1,2003,0.7069
2,2004,-0.2636
3,2005,-0.1371
4,2006,-0.1771
5,2007,-3.9906
6,2008,0.3791
7,2009,-0.8387
8,2010,-0.1727
9,2011,0.446
10,2012,-0.7422
11,2013,-0.0169
12,2014,0.286
13,2015,0.474
14,2016,0.4853
15,2017,-0.1689
16,2018,-0.2569
17,2019,0.7069
18,2020,0.0349
19,2021,-0.0021
20,2022,-0.6722
21,2023,-0.0425
22,2024,-0.8815
23,2025,0.3283
24,2026,0.3508
25,2027,-0.0822
26,2028,0.627
27,2029,0.5717
28,2030,-0.1445
29,2031,-0.9673
30,2032,0.0258
31,2033,0.1576
32,2034,-1.5652
33,2035,-0.6603
34,2036,-0.3802
35,2037,0.1765
36,2038,0.8736
37,2039,0.4755
38,2040,0.1534
39,2041,0.3203
40,2042,-0.4089
41,2043,0.4028
42,2044,0.0477
43,2045,0.0264
44,2046,-0.7788
45,2047,-0.0569
46,2048,-0.4396
47,2049,-0.0382
48,2050,0.3433
49,2051,0.2046
50,2052,0.2765
51,2053,0.5515
52,2054,-0.7097
53,2055,0.0183
54,2056,0.4851
55,2057,0.0349
56,2058,-0.0148
57,2059,-5.708
58,2060,-0.6371
59,2061,0.1465
60,2062,0.3769
61,2063,-2.4127
62,2064,-1.2192
63,2065,0.5693
64,2066,-0.0015
65,2067,-0.0596
66,2068,0.4967
67,2069,0.3515
68,2070,-0.8375
69,2071,-0.8036
70,2072,-0.2264
71,2073,-2.0595
72,2074,-0.2762
73,2075,-1.6683
74,2076,0.045
75,2077,-0.0069
76,2078,-16.3039
77,2079,-0.2981
78,2080,-0.6858
79,2081,-0.4391
80,2082,0.5686
81,2083,-0.0143
82,2084,-3.5235
83,2085,-0.3262
84,2086,-1.7573
85,2087,0.3479
86,2088,-0.271
87,2089,0.2085
88,2090,-6.5066
89,2091,-0.2341
90,2092,-0.8501
91,2093,-0.0077
92,2094,-0.3649
93,2095,-0.2611
94,2096,-0.4266
95,2097,0.1522
96,2098,0.0811
97,2099,-0.0204
98,2100,-0.1626
99,2101,-0.5653
100,2102,-0.4994
101,2103,-4.795
102,2104,0.3028
103,2105,-3.6293
104,2106,0.0744
105,2107,0.171
106,2108,-0.7071
107,2109,0.3447
108,2110,0.7948
109,2111,-0.3779
110,2112,0.0824
111,2113,0.397
112,2114,-0.3405
113,2115,0.1584
114,2116,0.1579
115,2117,0.0886
116,2118,-0.5316
117,2119,-2.0687
118,2120,-0.3385
119,2121,-1.032
120,2122,-1.9161
121,2123,0.1677
122,2124,0.1127
123,2125,-1.0772
124,2126,-0.2468
125,2127,-1.0441
126,2128,0.8098
127,2129,0.262
128,2130,0.952
129,2131,-0.6387
130,2132,0.5169
131,2133,-2.2295
132,2134,0.929
133,2135,-2.7852
134,2136,-0.8036
135,2137,-0.4641
136,2138,0.3146
137,2139,-1.4336
138,2140,-0.0801
139,2141,-0.3968
140,2142,0.262
141,2143,0.0351
142,2144,-6.3113
143,2145,-0.0596
144,2146,-0.3197
145,2147,-0.866
146,2148,0.5913
147,2149,-0.017
148,2150,-0.2729
149,2151,-0.3567
150,2152,-2.4335
151,2153,0.8293
152,2154,-6.4911
153,2155,-2.1264
154,2156,0.1829
155,2157,0.4305
156,2158,-2.4336
157,2159,0.3574
158,2160,-1.2152
159,2161,0.7594
160,2162,0.2688
161,2163,0.5291
162,2164,0.4571
163,2165,-6.4533
164,2166,0.0385
165,2167,0.0414
166,2168,-0.5801
167,2169,-1.9978
168,2170,-0.3447
169,2171,-3.909
170,2172,0.1702
171,2173,-0.5519
172,2174,0.4953
173,2175,-0.631
174,2176,0.1761
175,2177,-0.3038
176,2178,-0.1336
177,2179,0.5648
178,2180,-1.2908
179,2181,0.1384
180,2182,0.4372
181,2183,-4.9926
182,2184,-0.0082
183,2185,0.9295
184,2186,0.3357
185,2187,-3.1711
186,2188,-0.3951
187,2189,-0.6055
188,2190,0.2031
189,2191,0.4126
190,2192,-1.9368
191,2193,0.4825
192,2194,-2.7995
193,2195,0.3479
194,2196,0.3375
195,2197,0.3945
196,2198,-0.9184
197,2199,-0.3985
198,2200,-0.2766
199,2201,0.9581
200,2202,-0.6099
201,2203,-1.0612
202,2204,0.2755
203,2205,0.929
204,2206,-1.8271
205,2207,-0.0515
206,2208,0.9552
207,2209,0.7418
208,2210,0.4913
209,2211,-0.1166
210,2212,0.6293
211,2213,0.2278
212,2214,-0.6616
213,2215,0.3525
214,2216,0.8335
215,2217,-0.8331
216,2218,-0.7584
217,2219,-1.4215
218,2220,0.0291
219,2221,0.112
220,2222,-1.5366
221,2223,-0.4529
222,2224,-0.687
223,2225,-0.6481
224,2226,-0.7561
225,2227,0.2767
226,2228,0.6659
227,2229,0.2406
228,2230,0.3802
229,2231,-4.062
230,2232,-2.521
231,2233,-2.2606
232,2234,-1.428
233,2235,0.4149
234,2236,-0.0839
235,2237,0.1981
236,2238,0.1156
237,2239,0.7889
238,2240,0.7776
239,2241,-0.8421
240,2242,0.0222
241,2243,-0.2264
242,2244,-0.0894
243,2245,-1.412
244,2246,-1.2913
245,2247,0.5273
246,2248,0.0504
247,2249,0.5189
248,2250,0.434
249,2251,0.0402
250,2252,0.952
251,2253,-0.5256
252,2254,-0.2144
253,2255,-0.6237
254,2256,0.2657
255,2257,0.475
256,2258,-1.0132
257,2259,0.128
258,2260,-1.131
259,2261,0.6786
260,2262,0.204
261,2263,0.0352
262,2264,0.8203
263,2265,0.4653
264,2266,-0.4977
265,2267,-0.0417
266,2268,-0.0843
267,2269,0.1981
268,2270,-0.2094
269,2271,-0.4671
270,2272,0.6082
271,2273,-1.7563
272,2274,-2.076
273,2275,-0.0018
274,2276,0.5476
275,2277,0.0622
276,2278,-2.9669
277,2279,-0.0595
278,2280,-0.2214
279,2281,0.6676
280,2282,-1.1407
281,2283,-0.2405
282,2284,-0.4278
283,2285,-0.3914
284,2286,-0.069
285,2287,-1.8765
286,2288,0.1214
287,2289,-0.5762
288,2290,-0.8608
289,2291,0.2111
290,2292,-0.3912
291,2293,0.7096
292,2294,0.2829
293,2295,0.1242
294,2296,0.8665
295,2297,0.0496
296,2298,0.424
297,2299,-7.0324
298,2300,0.5306
299,2301,0.3354
300,2302,0.7355
301,2303,-10.797
302,2304,-0.9106
303,2305,-1.1971
304,2306,0.2362
305,2307,0.1049
306,2308,-2.3548
307,2309,-0.0
308,2310,-0.5359
309,2311,-0.692
310,2312,-0.1918
311,2313,0.754
312,2314,0.2733
313,2315,-0.4976
314,2316,-5.708
315,2317,-0.1471
316,2318,-0.1507
317,2319,-0.398
318,2320,0.2995
319,2321,-4.0251
320,2322,0.6024
321,2323,-0.2203
322,2324,0.7933
323,2325,-0.0971
324,2326,-0.0873
325,2327,-0.687
326,2328,0.6984
327,2329,0.2156
328,2330,-11.0839
329,2331,0.4917
330,2332,0.7621
331,2333,0.0776
332,2334,0.242
333,2335,-4.6332
334,2336,-0.3009
335,2337,-0.0483
336,2338,-0.8122
337,2339,-0.0623
338,2340,0.5304
339,2341,0.676
340,2342,-0.1597
341,2343,-0.1296
342,2344,0.5068
343,2345,-1.8977
344,2346,-1.0854
345,2347,-0.0228
346,2348,0.4957
347,2349,-0.0018
348,2350,0.8665
349,2351,-0.2281
350,2352,-0.1593
351,2353,0.1444
352,2354,0.9452
353,2355,-0.2703
354,2356,-0.0101
355,2357,0.0746
356,2358,0.69
357,2359,-3.0894
358,2360,0.0462
359,2361,-1.386
360,2362,0.1991
361,2363,-2.1122
362,2364,0.6465
363,2365,-0.6415
364,2366,-2.6887
365,2367,-0.4164
366,2368,-0.3716
367,2369,-0.2342
368,2370,0.3147
369,2371,-0.0108
370,2372,0.4248
371,2373,0.0472
372,2374,-0.4907
373,2375,-0.0856
374,2376,-4.8535
375,2377,-0.8741
376,2378,0.3991
377,2379,-0.0546
378,2380,0.0583
379,2381,-0.6607
380,2382,0.8013
381,2383,0.7442
382,2384,-1.0858
383,2385,-0.1415
384,2386,0.3814
385,2387,0.78
386,2388,-0.0137
387,2389,0.7853
388,2390,0.227
389,2391,-1.7331
390,2392,0.3233
391,2393,0.4132
392,2394,0.7225
393,2395,-0.4824
394,2396,-0.1982
395,2397,-0.0164
396,2398,-1.3917
397,2399,0.0965
398,2400,-0.1179
399,2401,0.4036
400,2402,-0.3427
401,2403,0.6654
402,2404,-2.6673
403,2405,-2.5563
404,2406,-0.3267
405,2407,-0.1335
406,2408,0.2843
407,2409,0.6951
408,2410,-0.8705
409,2411,0.9288
410,2412,-1.2726
411,2413,0.4916
412,2414,0.6291
413,2415,0.2156
414,2416,0.1567
415,2417,-0.9414
416,2418,-0.1342
417,2419,0.5367
418,2420,0.0405
419,2421,0.0132
420,2422,-1.9529
421,2423,0.1011
422,2424,-0.248
423,2425,-0.6393
424,2426,0.6009
425,2427,-1.2327
426,2428,-9.5278
427,2429,-0.2264
428,2430,-0.1981
429,2431,0.681
430,2432,-0.379
431,2433,-0.1605
432,2434,0.8832
433,2435,-0.6123
434,2436,-5.8453
435,2437,-0.1401
436,2438,-0.2066
437,2439,-0.2786
438,2440,-2.7588
439,2441,-0.2812
440,2442,0.5756
441,2443,-0.2027
442,2444,0.8731
443,2445,0.315
444,2446,-3.5693
445,2447,-0.3366
446,2448,0.1789
447,2449,-0.9261
448,2450,0.8293
449,2451,0.4093
450,2452,-0.6409
451,2453,-0.2019
452,2454,-4.2319
453,2455,-1.1971
454,2456,0.5562
455,2457,-0.3092
456,2458,0.9004
457,2459,0.2621
458,2460,0.4743
459,2461,0.5878
460,2462,-1.1099
461,2463,-0.3401
462,2464,0.619
463,2465,-0.2341
464,2466,-0.0361
465,2467,0.6885
466,2468,0.7821
467,2469,-0.5141
468,2470,0.7437
469,2471,-0.0148
470,2472,-0.9543
471,2473,-1.4794
472,2474,-0.6431
473,2475,-0.3288
474,2476,0.2762
475,2477,-0.1342
476,2478,-1.682
477,2479,-1.9499
478,2480,0.2129
479,2481,-2.526
480,2482,0.1084
481,2483,0.2555
482,2484,0.3263
483,2485,0.6899
484,2486,0.5168
485,2487,-0.4529
486,2488,-1.229
487,2489,0.8709
488,2490,-2.9239
489,2491,-0.5256
490,2492,-0.1963
491,2493,-0.0335
492,2494,-0.1392
493,2495,0.1726
494,2496,-2.3333
495,2497,0.4172
496,2498,-0.2668
497,2499,-0.1238
498,2500,-0.0018
499,2501,0.8443
